Running SF45/B LWNX driver.
Product: SF45
Firmware: 1.2.1
Serial: S45-15868
654.36 m -90.29 deg
654.36 m -89.83 deg
654.36 m -89.83 deg
654.36 m -89.38 deg
654.36 m -89.38 deg
654.36 m -88.94 deg
654.36 m -88.48 deg
654.36 m -88.04 deg
0.06 m -88.04 deg
0.1 m -87.58 deg
0.09 m -87.13 deg
0.08 m -86.69 deg
0.09 m -86.23 deg
0.1 m -86.23 deg
0.09 m -85.79 deg
0.07 m -85.34 deg
0.1 m -84.88 deg
0.09 m -84.44 deg
0.09 m -83.98 deg
0.07 m -83.54 deg
0.13 m -82.63 deg
0.17 m -82.19 deg
0.14 m -81.73 deg
0.13 m -80.84 deg
0.12 m -80.38 deg
0.13 m -79.03 deg
0.15 m -77.68 deg
0.12 m -76.34 deg
0.11 m -74.53 deg
654.36 m -72.73 deg
0.37 m -70.48 deg
0.3 m -68.68 deg
0.29 m -66.88 deg
0.27 m -65.09 deg
0.25 m -63.29 deg
0.24 m -61.49 deg
0.23 m -59.69 deg
0.23 m -57.89 deg
0.22 m -56.09 deg
0.21 m -53.84 deg
0.2 m -52.04 deg
0.18 m -50.24 deg
0.18 m -48.44 deg
0.17 m -46.64 deg
0.16 m -44.84 deg
0.18 m -43.04 deg
0.18 m -41.24 deg
0.16 m -39.44 deg
0.13 m -37.19 deg
0.09 m -35.39 deg
0.08 m -33.58 deg
5.16 m -31.79 deg
0.04 m -29.99 deg
4.75 m -27.74 deg
4.73 m -25.94 deg
5.95 m -24.14 deg
654.36 m -22.34 deg
6.69 m -20.54 deg
7.03 m -18.74 deg
7.46 m -16.49 deg
7.91 m -14.69 deg
8.45 m -12.89 deg
9.3 m -11.09 deg
654.36 m -9.28 deg
654.36 m -7.49 deg
9.16 m -5.69 deg
8.99 m -3.89 deg
8.78 m -2.08 deg
8.81 m -0.29 deg
8.76 m 1.94 deg
5.74 m 3.74 deg
8.72 m 5.55 deg
8.75 m 7.35 deg
8.79 m 9.14 deg
8.84 m 10.95 deg
8.92 m 12.75 deg
9.04 m 14.55 deg
9.17 m 16.34 deg
9.33 m 18.15 deg
9.43 m 20.39 deg
9.68 m 22.2 deg
6.52 m 23.99 deg
10.0 m 25.8 deg
8.97 m 27.59 deg
8.1 m 29.39 deg
7.44 m 31.19 deg
7.07 m 33.0 deg
6.6 m 35.25 deg
6.19 m 37.05 deg
5.83 m 38.84 deg
5.42 m 40.64 deg
5.1 m 42.44 deg
4.87 m 44.24 deg
4.67 m 46.05 deg
0.98 m 47.85 deg
654.36 m 49.65 deg... (77 KB left)
